Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Cacatua_sulphurea,NA,NA,NA,NA,2.263844265,2.263844265,NA,NA
Cacatua_tenuirostris,NA,NA,NA,NA,2.364620484,2.364620484,2.348,NA
Cacomantis_castaneiventris,NA,NA,NA,NA,NA,NA,-0.051,NA
Cacomantis_flabelliformis,NA,NA,NA,NA,0.086177696,NA,0.11,NA
Cacomantis_variolosus,NA,NA,NA,NA,NA,NA,0.063,NA
Cairina_moschata,NA,NA,NA,NA,1.994700313,NA,1.995,NA
Calamanthus_fuliginosus,NA,NA,NA,NA,NA,NA,-0.357,NA
Calamospiza_melanocorys,NA,NA,NA,NA,0.165514438,NA,0.14,NA
Calandrella_cinerea,NA,NA,NA,NA,-0.400477567,NA,-0.383,NA
Calidris_acuminata,0,-0.020202707,-0.010101354,NA,-0.010050336,NA,-0.008,NA
Calidris_alba,-0.010050336,0.019802627,0.004876146,NA,0.009950331,NA,0.03,NA
Calidris_alpina,-0.010050336,0.009950331,-5.00E-05,NA,0,NA,NA,NA
Calidris_bairdii,-0.328504067,-0.314710745,-0.321607406,NA,NA,NA,-0.342,NA
Calidris_canutus,0.277631737,0.277631737,0.277631737,NA,0.277631737,NA,0.151,NA
Calidris_ferruginea,-0.010050336,-0.020202707,-0.015126522,NA,-0.010050336,NA,-0.02,NA
Calidris_fuscicollis,-0.248461359,-0.248461359,-0.248461359,NA,-0.248461359,NA,-0.239,NA
Calidris_himantopus,NA,NA,NA,NA,NA,NA,-0.036,NA
Calidris_mauri,-0.46203546,-0.446287103,-0.454161282,NA,NA,NA,-0.455,NA
Calidris_melanotos,0.122217633,0.039220713,0.080719173,NA,0.019802627,NA,0.03,NA
Calidris_minuta,-0.653926467,-0.616186139,-0.635056303,NA,-0.634878272,NA,-0.621,NA
Calidris_minutilla,-0.597837001,-0.579818495,-0.588827748,NA,-0.597837001,NA,-0.597,NA
Calidris_ptilocnemis,0.139761942,0.113328685,0.126545314,NA,NA,NA,NA,NA
Calidris_pusilla,-0.673344553,-0.616186139,-0.644765346,NA,-0.673344553,NA,-0.614,NA
Calidris_ruficollis,-0.415515444,-0.400477567,-0.407996506,NA,-0.415515444,NA,-0.419,NA
Calidris_subminuta,-0.510825624,-0.562118918,-0.536472271,NA,-0.527632742,NA,-0.511,NA
Calidris_tenuirostris,0.405465108,0.463734016,0.434599562,NA,0.431782416,NA,0.434,NA
Callipepla_californica,NA,NA,NA,NA,0.285178942,NA,0.223,NA
Callipepla_gambelii,NA,NA,NA,NA,0.277631737,NA,0.286,NA
Callocephalon_fimbriatum,NA,NA,NA,NA,2.012232792,2.012232792,1.991,NA
Calorhamphus_fuliginosus,NA,NA,NA,NA,0.09531018,NA,NA,0.09531018
Calyptorhynchus_banksii,NA,NA,NA,NA,2.480731278,2.480731278,NA,NA
Calyptorhynchus_baudinii,NA,NA,NA,NA,2.683074215,2.683074215,2.683,NA
Calyptorhynchus_funereus,NA,NA,NA,NA,2.713369363,2.713369363,NA,NA
Calyptorhynchus_lathamii,NA,NA,NA,NA,2.280339484,2.280339484,NA,NA
Calyptorhynchus_latirostris,NA,NA,NA,NA,2.656756907,2.656756907,2.661,NA
Campephaga_phoenicea,NA,NA,NA,NA,0.048790164,NA,0.03,NA
Campephilus_guatamalensis,NA,NA,NA,NA,1.781709133,NA,1.769,1.781709133
Campethera_nivosa,NA,NA,NA,NA,0.457424847,NA,NA,0.457424847
Campylopterus_largipennis,NA,NA,NA,NA,NA,NA,-1.157,NA
Campylorhamphus_pusillus,NA,NA,NA,NA,0.292669614,NA,0.291,NA
Campylorhynchus_brunneicapillus,NA,NA,NA,NA,NA,NA,0.281,NA
Capito_niger,NA,NA,NA,NA,0.300104592,NA,NA,0.300104592
Caprimulgus_carolinensis,NA,NA,NA,NA,0.3074847,NA,0.3,NA
Caprimulgus_europaeus,NA,NA,NA,NA,-0.127833372,NA,-0.117,NA
