"scientific_name","social"
"Oreotrochilus cyanolaemus",0
"Oreotrochilus stolzmanni",0
"Opisthoprora euryptera",0
"Oreonympha nobilis",0
"Chalcostigma herrani",0
"Chalcostigma olivaceum",0
"Metallura odomae",0
"Metallura theresiae",0
"Metallura phoebe",0
"Haplophaedia lugens",0
"Eriocnemis luciani",0
"Eriocnemis mosquera",0
"Aglaeactis pamela",0
"Coeligena wilsoni",0
"Coeligena torquata",1
"Coeligena consita",0
"Coeligena bonapartei",0
"Coeligena eos",0
"Pterophanes cyanopterus",0
"Boissonneaua matthewsii",0
"Boissonneaua jardini",0
"Ocreatus underwoodii",0
"Ocreatus addae",0
"Urochroa bougueri",0
"Urosticte benjamini",0
"Heliodoxa branickii",0
"Heliodoxa aurescens",0
"Heliodoxa rubinoides",0
"Patagona gigas",0
"Eugenes spectabilis",0
"Panterpe insignis",1
"Heliomaster constantii",0
"Lampornis amethystinus",0
"Lampornis cinereicauda",0
"Lampornis castaneoventris",0
"Calliphlox amethystina",0
"Rhodopis vesper",0
"Myrmia micrura",0
"Philodice bryantae",0
"Microstilbon burmeisteri",0
"Tilmatura dupontii",0
"Doricha eliza",0
"Calothorax pulcher",0
"Archilochus colubris",0
"Mellisuga minima",0
"Selasphorus rufus",0
"Selasphorus heloisa",0
"Selasphorus ellioti",0
"Selasphorus flammula",0
"Phaeoptila sordida",0
"Cynanthus auriceps",0
"Cynanthus forficatus",0
"Cynanthus canivetii",0
"Chlorostilbon alice",0
"Basilinna leucotis",0
"Pampa curvipennis",0
"Pampa rufa",0
"Abeillia abeillei",0
"Klais guimeti",0
"Anthocephala floriceps",0
"Stephanoxis lalandi",0
"Stephanoxis loddigesii",0
"Campylopterus largipennis",0
"Campylopterus hyperythrus",0
"Campylopterus ensipennis",0
"Campylopterus falcatus",0
"Campylopterus hemileucurus",0
"Thalurania furcata",0
"Microchera albocoronata",0
"Microchera cupreiceps",0
"Microchera chionura",0
"Goldmania bella",0
"Eupherusa poliocerca",0
"Eupherusa eximia",0
"Eupherusa nigriventris",0
"Phaeochroa cuvierii",0
"Leucippus fallax",0
"Thaumasius baeri",0
"Thaumasius taczanowskii",0
"Eupetomena macroura",0
"Eupetomena cirrochloris",0
"Trochilus polytmus",0
"Trochilus scitulus",0
"Saucerottia cyanocephala",0
"Saucerottia cyanura",0
"Saucerottia edward",0
"Saucerottia cupreicauda",1
"Amazilia rutila",0
"Amazilia yucatanensis",0
"Amazilia tzacatl",0
"Amazilia luciae",0
"Chrysuronia oenone",0
"Chrysuronia humboldtii",0
"Polyerata amabilis",0
"Polyerata decora",0
"Chlorestes candida",0
"Chlorestes eliciae",0
"Chlorestes julie",0
"Corythaixoides leopoldi",0
"Crinifer zonurus",0
"Gallirex johnstoni",0
"Tauraco hartlaubi",1
"Otis tarda",1
"Ardeotis australis",0
"Neotis ludwigii",1
"Eupodotis senegalensis",0
"Eupodotis caerulescens",0
"Heterotetrax vigorsii",0
"Lophotis ruficrista",0
"Afrotis afra",0
"Afrotis afraoides",0
"Lissotis melanogaster",0
"Tetrax tetrax",0
"Guira guira",1
"Crotophaga major",1
"Crotophaga ani",1
"Crotophaga sulcirostris",1
"Tapera naevia",0
"Dromococcyx phasianellus",0
"Dromococcyx pavoninus",0
"Geococcyx californianus",0
"Neomorphus geoffroyi",0
"Neomorphus squamiger",0
"Neomorphus radiolosus",0
"Neomorphus rufipennis",0
"Neomorphus pucheranii",0
"Centropus ateralbus",0
"Centropus celebensis",0
"Centropus sinensis",0
"Centropus toulou",0
"Centropus bengalensis",0
"Coua verreauxi",0
"Coua caerulea",0
"Coua ruficeps",0
"Coua olivaceiceps",0
"Coua coquereli",0
"Coua gigas",0
"Rhinortha chlorophaea",1
"Ceuthmochares aereus",0
"Ceuthmochares australis",0
"Zanclostomus javanicus",0
"Phaenicophaeus curvirostris",1
"Phaenicophaeus pyrrhocephalus",0
"Phaenicophaeus viridirostris",0
"Piaya cayana",0
"Piaya melanogaster",0
"Coccyzus melacoryphus",0
"Coccyzus americanus",0
"Coccyzus euleri",0
"Coccyzus minor",0
"Coccyzus ferrugineus",0
"Coccyzus erythropthalmus",0
"Coccyzus vieilloti",0
"Pachycoccyx audeberti",0
"Microdynamis parva",0
"Eudynamys scolopaceus",1
"Eudynamys orientalis",1
"Urodynamis taitensis",0
"Chalcites lucidus",1
"Chalcites minutillus",0
"Surniculus dicruroides",0
"Hierococcyx sparverioides",0
"Cuculus optatus",1
"Cuculus canorus",0
"Mesitornis variegatus",0
"Mesitornis unicolor",0
"Monias benschi",1
"Syrrhaptes tibetanus",1
"Pterocles alchata",1
"Pterocles personatus",1
"Columba livia",0
"Columba rupestris",0
"Columba leuconota",0
"Columba guinea",1
"Columba bollii",1
"Columba arquatrix",1
"Columba sjostedti",1
"Columba hodgsonii",1
"Columba pulchricollis",1
"Columba punicea",1
"Columba palumboides",0
"Columba janthina",1
"Columba vitiensis",1
"Columba leucomela",0
"Columba iriditorques",0
"Columba malherbii",0
"Ectopistes migratorius",0
"Patagioenas leucocephala",1
"Patagioenas speciosa",1
"Patagioenas picazuro",1
"Patagioenas maculosa",1
"Patagioenas fasciata",1
"Patagioenas araucana",1
"Patagioenas cayennensis",1
"Patagioenas oenops",0
"Patagioenas subvinacea",1
"Nesoenas mayeri",0
"Streptopelia lugens",1
"Streptopelia hypopyrrha",1
"Streptopelia xanthocycla",0
"Streptopelia roseogrisea",1
"Streptopelia vinacea",1
"Streptopelia tranquebarica",0
"Spilopelia chinensis",1
"Spilopelia senegalensis",0
"Macropygia unchall",1
"Macropygia amboinensis",1
