"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Anas undulata","Anseriformes","Anatidae","Anas","undulata",0,1,0,1,0
"Anas melleri","Anseriformes","Anatidae","Anas","melleri",0,1,1,1,0
"Anas superciliosa","Anseriformes","Anatidae","Anas","superciliosa",0,0,1,1,0
"Anas laysanensis","Anseriformes","Anatidae","Anas","laysanensis",0,0,0,1,0
"Anas wyvilliana","Anseriformes","Anatidae","Anas","wyvilliana",0,0,1,1,0
"Anas luzonica","Anseriformes","Anatidae","Anas","luzonica",0,1,1,1,0
"Anas poecilorhyncha","Anseriformes","Anatidae","Anas","poecilorhyncha",0,1,1,1,0
"Anas zonorhyncha","Anseriformes","Anatidae","Anas","zonorhyncha",0,0,1,0,0
"Anas platyrhynchos","Anseriformes","Anatidae","Anas","platyrhynchos",0,0,1,0,0
"Anas fulvigula","Anseriformes","Anatidae","Anas","fulvigula",0,1,1,1,0
"Anas rubripes","Anseriformes","Anatidae","Anas","rubripes",0,1,1,0,0
"Anas diazi","Anseriformes","Anatidae","Anas","diazi",1,0,0,1,0
"Anas capensis","Anseriformes","Anatidae","Anas","capensis",0,1,1,0,0
"Anas bahamensis","Anseriformes","Anatidae","Anas","bahamensis",0,0,1,0,0
"Anas erythrorhyncha","Anseriformes","Anatidae","Anas","erythrorhyncha",0,1,1,1,0
"Anas georgica","Anseriformes","Anatidae","Anas","georgica",0,0,1,0,0
"Anas eatoni","Anseriformes","Anatidae","Anas","eatoni",0,0,1,0,0
"Anas acuta","Anseriformes","Anatidae","Anas","acuta",0,0,1,0,0
"Anas crecca","Anseriformes","Anatidae","Anas","crecca",0,1,0,1,0
"Anas carolinensis","Anseriformes","Anatidae","Anas","carolinensis",NA,NA,NA,NA,NA
"Anas flavirostris","Anseriformes","Anatidae","Anas","flavirostris",0,0,1,0,0
"Anas andium","Anseriformes","Anatidae","Anas","andium",0,0,1,1,0
"Anas gibberifrons","Anseriformes","Anatidae","Anas","gibberifrons",0,0,1,1,0
"Anas albogularis","Anseriformes","Anatidae","Anas","albogularis",0,0,1,1,0
"Anas theodori","Anseriformes","Anatidae","Anas","theodori",NA,NA,NA,NA,NA
"Anas gracilis","Anseriformes","Anatidae","Anas","gracilis",0,0,1,0,0
"Anas castanea","Anseriformes","Anatidae","Anas","castanea",0,1,1,1,0
"Anas bernieri","Anseriformes","Anatidae","Anas","bernieri",0,0,1,0,0
"Anas chlorotis","Anseriformes","Anatidae","Anas","chlorotis",0,0,0,1,0
"Anas aucklandica","Anseriformes","Anatidae","Anas","aucklandica",0,0,0,1,0
"Anas nesiotis","Anseriformes","Anatidae","Anas","nesiotis",NA,NA,NA,NA,NA
"Marmaronetta angustirostris","Anseriformes","Anatidae","Marmaronetta","angustirostris",0,0,1,0,0
"Rhodonessa caryophyllacea","Anseriformes","Anatidae","Rhodonessa","caryophyllacea",0,0,1,0,0
"Netta rufina","Anseriformes","Anatidae","Netta","rufina",0,0,1,0,0
"Netta peposaca","Anseriformes","Anatidae","Netta","peposaca",0,0,1,0,0
"Netta erythrophthalma","Anseriformes","Anatidae","Netta","erythrophthalma",0,1,1,0,0
"Aythya valisineria","Anseriformes","Anatidae","Aythya","valisineria",0,0,1,0,0
"Aythya americana","Anseriformes","Anatidae","Aythya","americana",0,1,0,1,0
"Aythya ferina","Anseriformes","Anatidae","Aythya","ferina",0,0,1,1,0
"Aythya australis","Anseriformes","Anatidae","Aythya","australis",0,0,0,1,0
"Aythya innotata","Anseriformes","Anatidae","Aythya","innotata",0,0,1,1,0
"Aythya baeri","Anseriformes","Anatidae","Aythya","baeri",0,1,1,1,0
"Aythya nyroca","Anseriformes","Anatidae","Aythya","nyroca",0,1,1,0,0
"Aythya novaeseelandiae","Anseriformes","Anatidae","Aythya","novaeseelandiae",0,0,1,0,0
"Aythya collaris","Anseriformes","Anatidae","Aythya","collaris",0,0,1,0,0
"Aythya fuligula","Anseriformes","Anatidae","Aythya","fuligula",0,0,1,1,0
"Aythya marila","Anseriformes","Anatidae","Aythya","marila",0,0,1,0,0
"Aythya affinis","Anseriformes","Anatidae","Aythya","affinis",0,0,1,0,0
"Polysticta stelleri","Anseriformes","Anatidae","Polysticta","stelleri",1,1,1,1,0
"Camptorhynchus labradorius","Anseriformes","Anatidae","Camptorhynchus","labradorius",0,0,1,1,0
"Somateria fischeri","Anseriformes","Anatidae","Somateria","fischeri",1,0,0,0,0
"Somateria spectabilis","Anseriformes","Anatidae","Somateria","spectabilis",0,1,1,1,0
"Somateria mollissima","Anseriformes","Anatidae","Somateria","mollissima",1,0,0,0,0
"Histrionicus histrionicus","Anseriformes","Anatidae","Histrionicus","histrionicus",0,1,1,1,0
"Melanitta perspicillata","Anseriformes","Anatidae","Melanitta","perspicillata",0,0,1,0,0
"Melanitta fusca","Anseriformes","Anatidae","Melanitta","fusca",0,0,1,1,0
"Melanitta deglandi","Anseriformes","Anatidae","Melanitta","deglandi",1,1,0,0,0
"Melanitta stejnegeri","Anseriformes","Anatidae","Melanitta","stejnegeri",0,0,1,1,0
"Melanitta nigra","Anseriformes","Anatidae","Melanitta","nigra",0,1,1,1,0
"Melanitta americana","Anseriformes","Anatidae","Melanitta","americana",0,1,0,1,0
"Clangula hyemalis","Anseriformes","Anatidae","Clangula","hyemalis",0,0,1,0,0
"Bucephala albeola","Anseriformes","Anatidae","Bucephala","albeola",0,0,0,1,0
"Bucephala clangula","Anseriformes","Anatidae","Bucephala","clangula",0,0,0,1,0
"Bucephala islandica","Anseriformes","Anatidae","Bucephala","islandica",0,0,0,1,0
"Mergellus albellus","Anseriformes","Anatidae","Mergellus","albellus",0,1,1,0,0
